AAPL
BNGO
AMC
TSLA
ZOM
TRVG
WK
SENS
NOW
SVMK
ZM
NVDA
OKTA
COIN
PYPL
ADBE
SQ
RPAY
AUMN
DNN
NOK
ILMN
ARKF
ARKG
SMAR
PTC
SUMO
XM
NTNX
DDOG
TWLO
PANW
AMZN
U
PLTR
FSLY
AI
SNOW
AFRM
CTXR
